subject,bone,bucket,r2_95,r2_50,r2_5,rmse_95,rmse_50,rmse_5,m_95,m_50,m_5
14548R,mc1,2.3000000000000003,0.9904547412879029,0.9427094400265759,0.8946975836612053,0.06762965177750195,0.1656856259725996,0.22462726421564647,-6.5281153015601125,-4.334213717592682,-3.284387099893781
14548R,mc1,2.4000000000000004,0.9915336187580683,0.93707412362338,0.8804446243405792,0.06635147508386062,0.18089072866192563,0.24933671078061995,-6.516682718540135,-4.4602265682621995,-3.3996033287273972
14548R,mc1,2.5,0.9922879455471817,0.9338111573947309,0.8663208938043767,0.065863727724067,0.19295394260150162,0.274216150572934,-6.4837537730091555,-4.580633378568438,-3.516201208031448
14548R,mc1,2.6,0.9931124892855135,0.9268065899116859,0.8484686928307874,0.0646407237489517,0.21072257145413767,0.30319794362097685,-6.480751162247289,-4.711482895812216,-3.6332625808998724
14548R,mc1,2.7,0.9936192306428006,0.9211673793432239,0.8319780403904917,0.0645248169743423,0.2268000991590316,0.33111074981825017,-6.447627461405346,-4.841136837535161,-3.7516636563434984
14548R,mc1,2.8000000000000003,0.9936832385763184,0.9154805674738408,0.8152459293485909,0.0664961126425986,0.24323569386155358,0.3596218144884795,-6.495698279158664,-4.9721379554345715,-3.870519274643346
14548R,mc1,2.9000000000000004,0.9942926415130616,0.910394039733407,0.8005070987726758,0.06538931665899711,0.259094188600186,0.38659207420242975,-6.498631723573128,-5.103108032854988,-3.9911324485220105
14685R,tpm,0.5,0.9806044025932266,0.9785095529053004,0.9901501862298905,0.02378455222122607,0.0250360681203885,0.016949520198564078,-3.412296237460784,-2.473314108919039,-1.8746725738335517
14685R,tpm,0.6000000000000001,0.9834835628322756,0.9818004536964124,0.9912847999518135,0.02570325828973777,0.026981138822212432,0.018671047156693148,-3.5747393068512925,-2.5956761009140985,-1.9438012657180646
14685R,tpm,0.7000000000000001,0.9849516962469267,0.9831713575146924,0.9934581415576708,0.028107578106915474,0.029723790647874098,0.01853233844452156,-3.7226672732565524,-2.7107430121791927,-1.9798090066764016
14685R,tpm,0.8,0.9866281240910203,0.979799689259714,0.9948943415682745,0.02985730051313996,0.036697239442303055,0.018449315130424537,-3.843313959810451,-2.852144720590574,-2.0086560094222206
14685R,tpm,0.9,0.9837380414530593,0.9716439276876685,0.9948851785260215,0.03662801632797744,0.04836709589966419,0.020541975844674955,-4.009817821695752,-3.01893878550847,-2.052052208353494
14685R,tpm,1.0,0.9826868728577642,0.9735492553993612,0.9946484285685511,0.041609046062408235,0.051430287380724124,0.023133463708335293,-4.1566015112860875,-3.131293148309867,-2.0952236045971717
14685R,tpm,1.1,0.9770436841021477,0.9693149095890906,0.9951681518053939,0.05230322785922492,0.06047015743847013,0.023995733853969897,-4.341876545382185,-3.2758681354383783,-2.124545441038639
